customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8879-XUAHX,Male,0,Yes,No,1.5814795246294708,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,1.7077733931106667,2.772061570192004,No
2604-IJPDU,Female,0,Yes,No,-0.5065844652332482,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,1.0530561291706058,-0.17210716976881127,No
4320-QMLLA,Male,0,No,No,-1.0388360704923727,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-0.33281747013398955,-0.8487079086238486,No
5609-IMCGG,Female,0,No,No,-0.7112966211021422,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.647596706832091,-0.43678233226622665,No
1820-DJFPH,Female,0,Yes,Yes,1.6224219558032498,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3564363396443384,-0.25716554836773026,No
8859-AXJZP,Male,0,Yes,Yes,0.2713217270685491,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.36474493436439,-0.6130188741061168,No
3284-SVCRO,Female,0,Yes,No,0.516976314111222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.3082464902680395,-0.5170244182587653,No
8739-XNIKG,Female,0,No,No,-1.1207209328399304,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.635964674224019,-0.8246927248479979,No
6810-VCAEX,Female,0,No,No,0.5988611764587796,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),-0.8379800291131227,-0.2176189255905705,No
4396-KLSEH,Male,0,No,No,-1.161663364013709,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,-1.496020730941204,-0.9845361973579145,No
9079-LWTFD,Male,0,No,No,0.5988611764587796,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,1.1926405204674717,1.050767197459439,No
9921-EZKBY,Male,0,No,Yes,0.02566714002587631,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0115131555703483,0.4347898848058132,No
8404-VLQFB,Female,0,Yes,Yes,-0.7112966211021422,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,-1.316555084988091,-0.8379043898875185,No
0130-SXOUN,Male,0,No,No,1.3767673687605768,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),0.8154303201771324,1.6285897517129784,No
8780-IXSTS,Female,0,No,No,-1.0797785016661514,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8386943853932762,-0.7820309770364363,Yes
3824-RHKVR,Female,0,No,No,-0.6294117587545845,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),-1.5010058877732348,-0.8619858529194202,No
2359-KLTEK,Female,0,Yes,Yes,0.3532065894161068,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.998219404018266,0.6879103636649858,No
1091-SOZGA,Female,0,Yes,Yes,0.9673430570227888,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1610678605312759,1.424692667014427,No
2155-AMQRX,Female,0,No,No,-0.1790450158430177,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),-0.3311557511899793,-0.347305336597234,No
3704-IEAXF,Female,0,Yes,Yes,1.6224219558032498,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),-0.37269872479023697,0.6596312144165141,No
7312-XSBAT,Male,0,No,No,-1.2844906575350454,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,-0.5023128024230409,-0.9903908649757622,No
4010-YLMVT,Female,0,No,No,0.9673430570227888,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.3870616369166773,1.591937323116717,No
5915-ANOEI,Male,0,Yes,No,1.5405370934556921,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,0.47477793665501955,1.4339938559469323,No
8679-LZBMD,Male,0,Yes,No,0.47603388293744314,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),0.85697329377739,0.7436512180039657,No
2372-HWUHI,Male,0,No,No,-1.2435482263612667,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.6817784483761539,-0.9764722212050301,Yes
7162-WPHPM,Male,0,Yes,Yes,1.0492279193703464,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),0.22385837610946288,0.8568120011685535,No
8822-KNBHV,Female,0,No,No,0.6398036076325584,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),0.6176857658399058,0.7055185526892296,No
0315-LVCRK,Male,0,No,No,-0.8750663457972574,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,0.6625521773281838,-0.6196688927965777,No
8263-QMNTJ,Male,0,Yes,No,1.6224219558032498,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,1.6845093278945222,2.710443955149826,No
0526-SXDJP,Male,0,Yes,No,1.6224219558032498,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),-0.7565558008566177,0.2964208912564549,No
5201-USSQZ,Female,0,Yes,No,-0.26092987819057534,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),0.6991099940964108,-0.04184633854303832,No
4132-POCZS,Male,0,Yes,No,0.8035733323276736,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8296714343930712,-0.11941516120818223,No
9257-AZMTZ,Female,0,Yes,Yes,0.8035733323276736,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4877121362211525,-0.5357151684651772,No
5447-VYTKW,Male,0,No,No,-0.2199874470167965,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.3793456005662781,-0.36661469319345613,No
5960-WPXQM,Male,0,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.47145449876699863,-0.9774443169604462,Yes
2826-UWHIS,Male,0,Yes,No,0.516976314111222,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.5495552891354833,0.6560300415044039,No
7251-XFOIL,Female,0,No,No,1.1720552128916828,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,0.8087834444010911,1.418131020665368,No
6923-JHPMP,Female,0,No,No,-1.2435482263612667,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.5179826291992874,-0.9517942448686684,No
1373-ORVIZ,Female,0,Yes,Yes,-0.8750663457972574,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,0.049377886988380706,-0.6850423323483184,Yes
8220-OCUFY,Female,0,No,No,-0.46564203405946936,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,-0.15335182418087648,-0.4563568058866533,No
9488-HGMJH,Female,1,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.2089029056133705,-0.9809350244458044,Yes
2446-BEGGB,Female,1,No,No,-1.0797785016661514,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1095545732669563,-0.7646658119510467,Yes
5781-RFZRP,Male,0,Yes,No,1.5814795246294708,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),0.2870036959818547,1.3550110758193648,No
0973-KYVNF,Female,0,Yes,Yes,1.6224219558032498,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),0.19228571617326742,1.2018618081706096,No
3740-RLMVT,Male,1,Yes,No,1.4177097999343558,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),-0.1300877589647321,0.8078316309467862,No
5837-LXSDN,Female,0,Yes,Yes,-0.46564203405946936,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),-0.19987995461316502,-0.4753126731172695,No
0404-AHASP,Male,0,Yes,No,1.6224219558032498,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5010058877732348,-0.38409032370559765,No
1934-MKPXS,Male,0,Yes,Yes,0.02566714002587631,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),-1.4877121362211525,-0.7381762026159547,No
3049-SOLAY,Female,0,Yes,No,-1.2026057951874878,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0081897176823278,-0.8829742840022703,Yes
8914-RBTSB,Male,0,Yes,No,-0.056217722321681304,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,0.961661587250039,0.3218279394093787,Yes
1925-LFCZZ,Male,1,No,No,0.9264006258490101,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),-0.49234248875897907,0.1998520151899938,No
8372-JUXUI,Male,0,No,Yes,-1.2844906575350454,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.31525291803002975,-0.9795210669833809,Yes
5863-OOKCL,Female,0,No,No,-0.9160087769710362,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.5292551098214102,-0.940261654315776,No
8262-COGGB,Male,0,No,No,-1.2844906575350454,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.4760801036130802,-1.0033374129910784,No
3320-VEOYC,Male,1,No,No,-0.752239052275921,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.02148346923441,-0.44975097336689307,No
1096-ADRUX,Female,0,Yes,Yes,1.3767673687605768,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),0.31192948014200933,1.1347430148761901,No
5668-MEISB,Female,0,Yes,Yes,1.6224219558032498,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),1.3704444474765742,2.3711383503388657,No
4801-JZAZL,Female,0,Yes,Yes,-0.8750663457972574,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,-1.1719855368591943,-0.8592904965066751,No
6578-KRMAW,Male,0,No,No,-0.015275291147902497,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.9483678356979568,0.30406509878768245,No
8884-ADFVN,Male,1,Yes,No,-1.0388360704923727,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.2325217751237192,-0.7026947075432628,Yes
6933-VLYFX,Male,0,Yes,Yes,-0.056217722321681304,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,-0.16332213784493824,-0.1954595609841509,No
4825-XJGDM,Female,0,No,No,1.1720552128916828,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),-0.7033807946482878,0.17912870113134824,No
1846-XWOQN,Female,1,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.17566852673316438,-0.9813768861528118,Yes
8089-UZWLX,Female,1,No,No,1.5814795246294708,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.3023139707721518,2.263390373085119,No
5940-AHUHD,Male,0,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.19062399722925674,-0.9811780483846586,Yes
0432-CAJZV,Male,0,No,No,-1.2026057951874878,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,0.8586350127214002,-0.9073650502290771,No
3249-ZPQRG,Male,0,No,No,-1.161663364013709,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.4515138714388751,-0.8665370285015961,Yes
6726-WEXXK,Male,1,Yes,No,-0.2199874470167965,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,0.6991099940964108,-0.031396309172313945,No
2984-AFWNC,Female,0,No,No,-1.2026057951874878,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,1.0148365934583692,-0.882841725490168,No
9122-UMROB,Male,0,No,No,-1.2844906575350454,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4810652604451113,-1.0034036922471292,No
0238-WHBIQ,Male,0,Yes,Yes,1.6224219558032498,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.8254006338411941,1.78872043433245,No
2405-LBMUW,Female,0,Yes,Yes,1.1720552128916828,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),-0.4707401424868449,0.3524268626196392,No
5153-LXKDT,Male,0,Yes,Yes,1.4586522311081345,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,1.5067054008854197,2.287228812178166,No
3007-FDPEA,Female,0,No,No,-1.2435482263612667,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),-1.4677715088930288,-0.9947652958751353,No
2791-SFVEW,Female,0,No,No,-0.956951208144815,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.4860504172771423,-0.9071441193755734,No
6265-FRMTQ,Male,0,No,No,-0.056217722321681304,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4777418225570906,-0.7432355191611891,No
6680-WKXRZ,Female,0,No,No,-1.2026057951874878,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.31691463697404043,-0.9170197285271882,Yes
3174-RKMOW,Male,0,Yes,Yes,0.10755200237343392,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.498396806165368,0.6589242356853023,No
0829-DDVLK,Female,0,No,No,-0.7112966211021422,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),-1.4877121362211525,-0.8787324116149995,No
1415-YFWLT,Female,1,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8121068822891114,-0.9729152344636206,Yes
7599-FKVXZ,Male,0,Yes,No,0.39414902058988555,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.372106166420585,0.9816158403127855,Yes
5692-FPTAH,Female,0,No,No,-1.2844906575350454,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.6468823505519375,-0.9923129634012442,Yes
0020-INWCK,Female,0,Yes,Yes,1.5814795246294708,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),1.026468626066441,2.0141140910769098,No
3170-NMYVV,Female,0,Yes,Yes,0.721688469980116,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4860504172771423,-0.601044421846217,No
8807-OPMBM,Female,0,Yes,Yes,0.9264006258490101,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.3032613334360086,-0.39906943557314756,No
3557-HTYWR,Female,0,No,No,0.5988611764587796,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,0.305282604365968,0.5325076013104935,No
7552-KEYGT,Male,0,Yes,No,-0.2199874470167965,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.505991044605266,-0.7823623733166918,No
6061-PQHMK,Female,0,No,No,-0.3018723093643541,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),-1.494359011997194,-0.7792914344529905,No
6907-NZZIJ,Female,0,No,No,0.14849443354721273,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.139465514259142,0.5852217029564727,Yes
2252-ISRNH,Male,0,Yes,Yes,-0.956951208144815,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,0.8470029801133278,-0.6730678800884184,No
0481-SUMCB,Female,1,No,No,0.516976314111222,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1.2391686508997604,1.079996349377977,No
4737-HOBAX,Male,0,Yes,No,1.2539400752392404,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.49638028292715325,1.2119804412610786,No
3780-YVMFA,Female,0,Yes,Yes,-0.9978936393185939,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.12249352052483428,-0.763008830549769,No
8908-NMQTX,Male,0,No,No,1.6224219558032498,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.024452102828226113,1.0053880001497821,No
2955-BJZHG,Male,0,Yes,Yes,-0.6294117587545845,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,0.5312763807513695,-0.3933915126381029,Yes
9776-CLUJA,Female,1,Yes,No,0.7626309011538948,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.4199412115026792,0.6699486852751362,Yes
9030-QGZNL,Female,0,No,No,-0.9978936393185939,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4627863520609978,-0.9409465399616374,No
0268-QKIWO,Female,0,No,No,-1.2026057951874878,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-1.4993441688292246,-0.9863699234419951,Yes
1555-HAPSU,Female,0,Yes,Yes,1.5814795246294708,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.3614214964763693,-0.27733653529261676,No
6435-VWCCY,Male,1,Yes,No,1.335824937586798,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.9251037704818125,1.6248339272034158,No
1320-GVNHT,Male,0,Yes,Yes,1.6224219558032498,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),1.4468835189010487,2.4196768588536255,No
5275-PMFUT,Male,0,Yes,Yes,1.6224219558032498,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),-0.0021354002759386963,1.0731033067486617,No
2988-QRAJY,Male,0,No,No,1.4995946622819134,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),1.5017202440533886,2.2709903944456453,No
7274-CGTOD,Male,0,No,No,1.2129976440654617,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),-0.7033807946482878,0.14455302255802144,No
0442-ZXKVS,Female,1,Yes,No,0.8854581946752312,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),1.6861710468385325,1.8292612459503765,No
1407-DIGZV,Female,0,Yes,Yes,-1.2026057951874878,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.5209465151013586,-0.9893966761349956,No
9069-LGEUL,Male,0,Yes,No,-0.38375717171191176,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.16332213784493824,-0.3911159248470149,No
9046-DQMTP,Male,0,No,No,0.10755200237343392,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.4661097899490185,-0.6854400078846249,No
6075-QMNRR,Female,0,No,No,0.8035733323276736,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.5023128024230409,0.10798896630316145,No
5091-HFAZW,Female,0,No,No,-1.2435482263612667,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8735904832174931,-0.9379197872686369,No
9135-HSWOC,Male,0,Yes,Yes,1.2948825064130192,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.5010058877732348,-0.44941957708663755,No
7365-BVCJH,Male,0,No,No,-1.2844906575350454,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-1.3448043070362663,-1.0015920592483991,No
4450-MDZFX,Male,0,Yes,Yes,1.131112781717904,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.31525291803002975,0.9553692549165478,No
7384-GHBPI,Male,0,Yes,No,-1.2026057951874878,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.9875347340740503,-0.9682977796253937,Yes
0392-BZIUW,Female,0,Yes,No,1.6224219558032498,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),1.3338866307083477,2.341268498945168,No
3916-NRPAP,Male,0,No,No,-1.2026057951874878,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),0.6924631183203696,-0.8989254916252364,No
1744-JHKYS,Female,0,Yes,No,0.06660957119965512,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-1.3348339933722042,-0.6676329810922278,No
2842-BCQGE,Male,0,No,No,0.43509145176366437,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.34848729691023583,0.38452811563372474,No
7134-MJPDY,Female,1,No,No,1.3767673687605768,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),1.2624327161159044,2.0703851794642985,No
5555-RNPGT,Male,0,No,Yes,-0.9160087769710362,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),-1.3315105554841837,-0.9134406487004285,No
0520-FDVVT,Male,0,No,No,0.10755200237343392,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1.2458155266758013,0.5898612508800501,Yes
0670-KDOMA,Female,0,No,No,-1.2844906575350454,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.4827269793891216,-1.0034257853324797,No
0655-YDGFJ,Male,0,No,No,-0.13810258466923891,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.5289003055272057,-0.4274811433337215,No
8329-GWVPJ,Female,0,Yes,Yes,0.721688469980116,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.16237477518108173,0.5596379101207458,No
8816-VXNZD,Female,0,No,No,-1.2844906575350454,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.3401787021901843,-0.9791896707031253,Yes
0895-LMRSF,Male,0,No,No,-0.38375717171191176,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),0.0011880376120821997,-0.3452506796596498,No
9283-LZQOH,Male,0,Yes,Yes,-0.7931814834496999,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.31691463697404043,-0.6161339991405187,Yes
9577-WJVCQ,Female,0,No,No,1.4586522311081345,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-0.34611122168607195,0.6171020251170546,No
4452-ROHMO,Female,0,No,No,-0.7112966211021422,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.5043293256612555,-0.8658521428557346,No
4682-BLBUC,Male,0,Yes,No,0.47603388293744314,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,0.20225602983732918,0.42387590064273106,No
9812-GHVRI,Female,0,No,No,0.31226415824232795,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),0.630979517391988,0.5483925296774084,No
7601-DHFWZ,Female,0,No,No,0.6398036076325584,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.3580980585883486,-0.48962899242430835,No
0817-HSUSE,Male,0,No,No,-1.2844906575350454,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.353472453742267,-0.9790129260203224,No
4598-ZADCK,Female,0,No,No,0.8445157635014524,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,-0.3743604437342472,0.25983474191624445,No
7883-ROJOC,Female,0,Yes,No,-0.547526896407027,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,-0.6634995399920406,-0.6413643026106396,No
6145-NNPNO,Female,0,No,No,-1.2844906575350454,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.6884253241521952,-0.9928652905350035,No
9738-QLWTP,Male,0,No,No,0.2713217270685491,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,0.5661724785755864,0.41031074623760483,No
9154-QDGTH,Male,0,Yes,Yes,0.43509145176366437,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),1.3106225654922035,0.9547285554413871,No
9430-FRQOC,Female,0,No,Yes,-1.161663364013709,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,0.7389912487526579,-0.861499805041712,Yes
7998-WNZEM,Male,0,No,No,1.5814795246294708,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),0.522967786031318,1.509861511040098,No
